Energy	I0	Sample	Reference
6832.12	1.37513E6	652678	36927
6834.01	1.38002E6	657830	37383
6836.05	1.37886E6	659461	37498
6837.95	1.37728E6	660430	37754
6839.99	1.37529E6	661022	37923
6842.03	1.37355E6	661197	38057
6844.02	1.37207E6	661294	38139
6845.88	1.37162E6	661793	38327
6848.11	1.36977E6	662011	38391
6849.97	1.36836E6	662351	38457
6851.97	1.36651E6	662914	38677
6854.06	1.36461E6	664133	38799
6856.07	1.36269E6	665159	39046
6857.93	1.36121E6	666437	39302
6860.03	1.36112E6	668303	39512
6861.95	1.35982E6	668862	39751
6864	1.35797E6	668717	39901
6866.01	1.35641E6	668668	39965
6867.97	1.35498E6	668357	40136
6870.03	1.35377E6	668245	40260
6872.04	1.35202E6	667737	40338
6873.96	1.34991E6	667015	40474
6875.98	1.34696E6	666038	40632
6878.04	1.3452E6	665268	40672
6880.06	1.34381E6	664612	40839
6881.94	1.34237E6	664020	40922
6883.96	1.34082E6	663809	41052
6886.02	1.32034E6	654179	40589
6888.09	1.33555E6	662621	41130
6889.98	1.33446E6	663087	41328
6892.05	1.33322E6	663717	41384
6894.03	1.33198E6	664522	41521
6895.96	1.33022E6	665368	41662
6897.95	1.32807E6	666173	41846
6900.07	1.32617E6	667921	42047
6902.1	1.32456E6	669950	42209
6903.95	1.32429E6	672727	42452
6906.02	1.32292E6	675409	42763
6907.97	1.32147E6	677169	42872
6910.05	1.32E6	678630	43057
6912.04	1.31826E6	679514	43209
6914.03	1.31654E6	680212	43285
6916.02	1.3151E6	680587	43399
6917.97	1.314E6	680847	43475
6920.01	1.31283E6	681013	43560
6921.87	1.31128E6	680730	43694
6923.96	1.30948E6	680542	43782
6925.96	1.30807E6	680831	43859
6928.1	1.30625E6	680920	44029
6929.92	1.30488E6	681417	44153
6932.06	1.30354E6	682344	44361
6934.11	1.30071E6	682383	44451
6935.93	1.29929E6	682959	44507
6938.03	1.29793E6	683605	44720
6939.99	1.29645E6	683868	44833
6942.04	1.29493E6	684478	45022
6943.96	1.29331E6	684648	44995
6946.02	1.29152E6	685073	45154
6948.03	1.29002E6	685513	45295
6950	1.28842E6	685736	45409
6952.01	1.28685E6	686146	45593
6953.93	1.28516E6	686422	45636
6956.05	1.28381E6	686629	45767
6958.06	1.28207E6	686653	45849
6959.9	1.28082E6	686964	46059
6962.06	1.27906E6	687142	46153
6964.08	1.27724E6	687068	46355
6965.87	1.276E6	686899	46351
6967.99	1.27413E6	686693	46634
6970.01	1.27257E6	686403	46619
6972.04	1.27092E6	686222	46827
6974.02	1.26933E6	686062	46999
6976.05	1.26786E6	686108	47051
6977.94	1.26743E6	686744	47308
6980.02	1.26596E6	687140	47494
6981.91	1.26446E6	687780	47684
6984.08	1.26297E6	688498	47715
6985.93	1.26156E6	688802	48008
6988.06	1.25987E6	689543	48168
6989.91	1.25877E6	690164	48385
6991.95	1.25572E6	689985	48510
6994.08	1.25404E6	690536	48593
6995.89	1.25274E6	691069	48728
6998.07	1.25103E6	691739	48920
7000.02	1.24947E6	692206	49046
7002.07	1.24784E6	692838	49112
7003.92	1.24633E6	693604	49240
7005.92	1.24414E6	693788	49399
7008.02	1.24162E6	693886	49482
7010.02	1.23986E6	694121	49639
7012.12	1.23726E6	694250	49787
7013.98	1.23348E6	693447	49779
7015.99	1.19158E6	670638	48583
7018.09	1.23619E6	697898	50210
7019.91	1.23777E6	699629	50592
7021.97	1.23631E6	700091	50654
7024.98	1.23325E6	700501	50848
7027.95	1.23086E6	701006	50935
7031.02	1.22875E6	701915	51261
7033.95	1.22607E6	702494	51476
7036.98	1.22389E6	703034	51735
