Energy	I0	Sample	Reference
6891.91	605320	797220	48520
6893.94	604511	797460	48791
6896.06	603796	797632	48713
6897.95	603011	797805	48943
6900.07	602314	798251	49187
6902.1	602313	799729	49287
6903.9	601687	800312	49508
6906.02	600862	800722	49637
6907.97	600063	801193	49679
6910.05	599418	801878	49793
6912.04	598641	802646	49884
6913.98	597924	803461	50107
6916.02	596782	804044	50127
6917.97	595239	803993	50355
6919.97	594565	804934	50502
6921.96	593768	805802	50631
6924.1	593023	806556	50728
6925.87	592353	807418	50947
6928.01	591552	807859	51107
6929.92	590839	808335	51289
6932.06	590417	809288	51527
6934.11	589539	809494	51541
6935.93	589085	810414	51814
6938.03	588403	811121	51931
6939.94	587710	811388	52253
6942.04	586942	811623	52248
6944.1	586327	811709	52274
6945.97	585604	811858	52423
6948.03	585052	812102	52619
6949.95	584384	812273	52660
6951.97	583619	812561	52838
6953.93	582988	812756	53001
6956.05	582252	812982	53114
6957.97	581516	813183	53227
6960.08	580814	813529	53370
6961.92	579986	813379	53486
6963.99	579074	813681	53705
6966.01	578427	814264	53921
6967.99	577739	814830	54141
6970.01	577049	815100	54290
6972.04	576238	815373	54503
6973.97	575469	815624	54642
6976.05	574788	816048	54836
6977.94	574251	816760	55077
6980.02	573441	816910	55249
6981.91	572770	817068	55458
6984.04	571943	817237	55619
6986.12	571321	817487	55867
6988.01	570681	817768	56050
6990	569780	817826	56164
6992.04	569190	818488	56413
6993.89	568453	818878	56574
6996.03	567823	818845	56608
6998.07	566984	819084	56758
6999.97	566349	819322	56800
7002.07	565592	819663	56999
7003.92	564907	819814	57110
7005.88	564142	820288	57336
7008.07	563138	820257	57421
7009.97	562306	820386	57540
7012.07	561077	820316	57669
7013.98	559330	819330	57627
7015.99	541892	793743	56386
7018.04	559316	823348	58171
7019.86	561163	826815	58507
7022.06	560000	826900	58647
7025.08	559081	827836	58918
7027.95	557980	828229	59178
7031.02	556955	829189	59421
7033.9	555823	829753	59665
7037.07	554785	830699	59992
7039.96	553807	831349	60122
7043.04	552673	832114	60453
7045.98	551217	831916	60654
7049.07	550424	832895	60808
7051.96	549406	833160	61214
7055.01	548361	833524	61365
7058.05	547297	833930	61608
7060.86	546444	834823	61964
7064.06	545374	834814	62156
7067.06	544558	835145	62364
7069.88	543664	835532	62545
7072.98	542651	836008	62829
7076.05	541639	836407	63084
7078.97	540713	836636	63309
7081.98	539621	836649	63616
7085.06	538699	836841	63797
7087.88	537693	837177	64144
7091.2	536684	837586	64372
7093.94	535860	837991	64577
7097.02	534832	838615	64818
7099.96	533970	838860	65062
7103.05	532949	839756	65498
7106.04	532032	840302	65630
7109.03	531132	840969	65889
7111.88	530183	841348	66199
7115.03	529112	842042	66482
7117.93	528035	842299	66450
7121.08	527016	842752	66759
7123.94	526017	843176	66934
7127.05	524715	843482	67005
7130.01	523490	843135	67183
7133.03	522239	842909	67280
7136	520759	842127	67264
7138.92	519773	842305	67569
7141.99	518980	843325	67827
7145.07	518092	843816	68025
7148	517272	844279	68297
7150.98	516381	844565	68618
7153.96	515502	844937	68811
7156.95	514483	845494	69072
7159.99	513603	845802	69317
7162.98	512724	846273	69611
7165.97	511838	846652	69862
7168.97	510751	846769	70036
7171.92	509824	846789	70376
7175.07	508821	846996	70550
7177.93	507921	847001	70839
7181.03	506642	846819	71008
7184.04	505910	847315	71433
7187.06	504950	847480	71631
7190.02	504079	847875	71871
7193.04	503121	848140	72068
7196.06	502127	848470	72298
7198.88	495679	839599	71881
7202.06	500421	849612	72946
7205.04	499586	850200	73079
7207.92	498900	851012	73396
7211.05	498106	851428	73817
7213.89	497215	851823	73972
7217.03	496101	851952	74353
7219.97	495112	852418	74547
7223.01	494179	853114	74831
7226.11	493288	853556	75011
7229.01	492466	854032	75393
7232.01	491668	854634	75678
7235.11	490763	855148	75874
7238.02	489901	855511	76236
7241.03	488950	855772	76629
7243.83	487994	855959	76766
7247.1	486914	856090	77056
7249.97	485956	856132	77244
7253.04	485071	856322	77663
7256.06	483895	856147	77648
7258.98	481273	853384	77743
7262.11	483370	858940	78402
7265.04	482233	858819	78655
7267.92	481002	858129	78827
7271.05	480121	858553	79082
7273.99	479252	858484	79335
7276.98	478344	858679	79677
7279.92	477476	858784	79814
7282.96	476396	858309	80008
7286.06	475406	858189	80244
7289.01	474729	858562	80380
7292.11	474075	859022	80762
7294.91	473283	859471	80973
7298.02	472424	859614	81273
7300.98	471496	859694	81576
7303.99	470633	859860	81707
7306.95	469727	860298	82145
7309.97	468813	860473	82234
7312.99	468186	860938	82702
7315.96	467496	861673	82975
7318.93	466694	861778	83200
7322.06	465729	862038	83543
7324.88	464883	861917	83801
7328.02	464105	862603	84153
7331.06	463185	862844	84337
7333.99	462413	862944	84653
7336.92	461236	862443	84787
7339.97	460435	862723	85006
7342.96	459577	863248	85321
7345.95	458770	863441	85692
7349.06	457865	863545	85868
7351.9	457075	863843	86141
7355.11	456272	864191	86466
7358.01	454713	862913	86549
7361.08	447827	852014	85804
7363.93	452630	862408	86903
7366.94	452556	864010	87398
7370.01	451737	864430	87682
7373.03	450951	864498	88015
7376	450103	864429	88163
7379.02	449533	865141	88559
7381.99	448692	865113	88852
7384.97	447983	865366	89122
7388	447140	865515	89419
7391.08	446282	865610	89764
7393.96	445438	865914	89910
7397.16	444609	866088	90251
7399.88	443940	866360	90546
7403.03	442935	866107	90768
7405.92	442160	866432	90985
7409.02	441286	866369	91412
7411.96	440440	866562	91592
7415.02	439627	866508	91866
7417.97	438867	866653	92168
7421.08	437953	866619	92420
7424.09	437036	866503	92730
7426.99	436014	866148	92815
7429.95	435419	866857	93089
7433.07	434472	866718	93463
7435.99	433757	866796	93791
7438.95	432978	866967	94000
7442.03	432102	866965	94293
7445.06	431351	867281	94424
7448.03	430607	867520	94892
7451.06	429831	867609	95122
7454.04	428919	867358	95327
7457.08	428184	867713	95760
